Dispatch Advice & Supplier Invoice Report																																																	
Type of Item - [Component (2)]																																																	
Dispatch Advice Date - From:[01.01.2014]  TO: [06.03.2014]																																																	
																																																	
Dispatch Advice No	Supplier Invoice Number	Status	SAO	Port of Loading	Port of Discharge	Container Number(or AWB no if by Air)	Type of Container	Vessel Name&VoyageNo	Shipment Date	"Forwarder Ref. No. (Bill of Lading No, AWB No)"	Forwarder	Supplier Code	Suppler Name	Bill To Party Code	Bill to Party Name	Ship to Party Code	Ship to Party (Delivery Details)	Ship To Party Country	Create Date	Update Date	Updated By	Dispatch Advice Line No	Client P/O no	Customer Order Item Line No	PO No	Item Line no in PO	Schedule line no	CMMF	CMMF Descrption	Brand	Customs Code	Vendor Material No	Quantity Delivered	Unit	Gross Weight (KG)	Net Weight (KG)	Volume (CBM)	NB of Packages	The type of Packages	PCS PER PACKAGE	The Package Number Sequence From	The Package Number Sequence To	Pallet No	PO  Unit Price	Quantity Base (Per Unit Price)	Item Total	Charge / Discount	Remark	Amount
DA140000087023	K140001	Completed	LEE CHRISTINE	Shenzhen	France	UACU3146151	FCL20	CMA CGM THALASSA  622W	07/01/2014	HKG0126322	DSV	10020182	KIN SUN MOULDING LTD	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	01.01.2014	02.01.2014	KIN SUN MOULDING LTD	1	415121/021	000001	9322133260	00010	01	1502642936	2642936 CHOPPER	NON GR OEM	8509900000		9000	PCE	"4,746.00"	"4,158.00"	16	375.00	CARTON	24.00	1.00	375.00	15.00	393.00	100	"35,370.00"			
DA140000087037	1100018346-1	Approved	LEE CHRISTINE	"SHANGHAI ,CHINA"	FRANCE	NA	BY AIR	BY AIR		PVG267901	PANALPINA CHINA LTD.	99011100	SHAOXING SUPOR ELECTRICAL APP LTD	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014	02.01.2014	ICY SUPOR SHAOXING	1	416046/001	000001	9322153890	00010	01	7232601804	7232601804 BASE COVER	NON GR OEM	3926909790		525	PCE	55.00	40.00	0.3	1.00	PALLET	525.00	1.00	1.00	1.00	347.15	"1,000"	182.25			
DA140000087038	M	Cancel	LEE CHRISTINE	M	M		LCL				CLASQUIN LYON EXPORT	99011100	SHAOXING SUPOR ELECTRICAL APP LTD	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014	02.01.2014	ICY SUPOR SHAOXING	1	416046/001	000001	9322153890	00010	01	7232601804	7232601804 BASE COVER	NON GR OEM	3926909790		2250	PCE	1.00	1.00	1	1.00	CARTON	1.00	1.00	1.00	1.00	347.15	"1,000"	781.09			
DA140000087042	M-15680	Completed		"YANTIAN, CHINA"	"LE HAVRE, FRANCE"	GLDU3811949	LCL	MSC RENEE V.FL401R	06/01/2014	SZX0074619	DSV	10011097	WING KEUNG METAL FACTORY	99001194	SAS SEB LOURDES 	99001194	SAS SEB LOURDES 	FRANCE	02.01.2014	06.01.2014	WING KEUNG	1	21-8574/X151161	000001	9322130053	00010	02	1502506121	2506121 3	NON GR OEM	8509900000		2304	PCE	966.00	906.00	6.46	6.00	PALLET	384.00	1.00	6.00	6.00	333.33	100	"8,239.92"			
DA140000087042	M-15680	Completed		"YANTIAN, CHINA"	"LE HAVRE, FRANCE"	GLDU3811949	LCL	MSC RENEE V.FL401R	06/01/2014	SZX0074619	DSV	10011097	WING KEUNG METAL FACTORY	99001194	SAS SEB LOURDES 	99001194	SAS SEB LOURDES 	FRANCE	02.01.2014	06.01.2014	WING KEUNG	2	21-8574/X151161	000001	9322130053	00010	02	1502506121	2506121 3	NON GR OEM	8509900000		160	PCE	158.00	148.00	0.76	1.00	PALLET	160.00	1.00	1.00	1.00	333.33	100	"8,239.92"			
DA140000087042	M-15680	Completed		"YANTIAN, CHINA"	"LE HAVRE, FRANCE"	GLDU3811949	LCL	MSC RENEE V.FL401R	06/01/2014	SZX0074619	DSV	10011097	WING KEUNG METAL FACTORY	99001194	SAS SEB LOURDES 	99001194	SAS SEB LOURDES 	FRANCE	02.01.2014	06.01.2014	WING KEUNG	3	21-8574/X151161	000001	9322130053	00010	02	1502506121	2506121 3	NON GR OEM	8509900000		8	PCE	3.00	3.00	0.01	0.00	CARTON	8.00	1.00	1.00	0.00	333.33	100	"8,239.92"			
DA140000087048	TLS133046	Completed	LEE CHRISTINE	HONG KONG	LE HAVRE	TCLU3574649	LCL	NYK VENUS / 035W51	01/01/2014	HKG0125068	DSV	10016307	TECH LINK SILICONES CO LTD	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014	02.01.2014	TECH LINK SILICONES CO LTD	1	413837/044	000001	9322134652	00010	01	8080006188	0678628 MEMBRANE ASSEMBLEE	NON GR OEM	8509900000	8080006188	13824	PCE	436.80	318.00	4.08	48.00	CARTON	288.00	1.00	3.00	3.00	20.78	100	"2,872.63"			
DA140000087048	TLS133046	Completed	LEE CHRISTINE	HONG KONG	LE HAVRE	TCLU3574649	LCL	NYK VENUS / 035W51	01/01/2014	HKG0125068	DSV	10016307	TECH LINK SILICONES CO LTD	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014	02.01.2014	TECH LINK SILICONES CO LTD	2	415795/004	000001	9322144679	00010	01	8080013005	0A17597 TUYAU SORTIE CAFE F3 OTC	NON GR OEM	3917320099		2000	PCE	25.50	17.50	0.16	10.00	CARTON	200.00	1.00	10.00	1.00	20.50	100	410.00			
DA140000087048	TLS133046	Completed	LEE CHRISTINE	HONG KONG	LE HAVRE	TCLU3574649	LCL	NYK VENUS / 035W51	01/01/2014	HKG0125068	DSV	10016307	TECH LINK SILICONES CO LTD	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014	02.01.2014	TECH LINK SILICONES CO LTD	3	410379/065	000001	9322144706	00010	01	8080006902	0698537 PIED SILICONE ECI(2013731910)	NON GR OEM	3926909790	8080006902	40000	PCE	8.10	7.70	0.32	4.00	CARTON	"10,000.00"	1.00	4.00	0.00	1.10	100	440.00			
DA140000087048	TLS133046	Completed	LEE CHRISTINE	HONG KONG	LE HAVRE	TCLU3574649	LCL	NYK VENUS / 035W51	01/01/2014	HKG0125068	DSV	10016307	TECH LINK SILICONES CO LTD	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014	02.01.2014	TECH LINK SILICONES CO LTD	4	415795/005	000001	9322149328	00010	01	8080013005	0A17597 TUYAU SORTIE CAFE F3 OTC	NON GR OEM	3917320099		2000	PCE	25.50	17.50	0.16	10.00	CARTON	200.00	1.00	10.00	0.00	20.50	100	410.00			
DA140000087048	TLS133046	Completed	LEE CHRISTINE	HONG KONG	LE HAVRE	TCLU3574649	LCL	NYK VENUS / 035W51	01/01/2014	HKG0125068	DSV	10016307	TECH LINK SILICONES CO LTD	99008001	GROUPE SEB MOULINEX SAS CSP COMPTABILITE FOURNISSEURS	99008097	GROUPE SEB MOULINEX MAYENNE SERVICE RECEPTION	FRANCE	02.01.2014	02.01.2014	TECH LINK SILICONES CO LTD	5	410379/066	000001	9322149341	00010	01	8080006902	0698537 PIED SILICONE ECI(2013731910)	NON GR OEM	3926909790	8080006902	40000	PCE	8.10	7.70	0.32	4.00	CARTON	"10,000.00"	1.00	4.00	0.00	1.10	100	440.00			
